Events,Temp_Avg_Celsius,Precipitations_cm,date,count
"",7.222222222222222,0.0,2014-02-12,129
"",15.555555555555557,"",2014-04-05,587
"Rain , Thunderstorm",28.333333333333336,0.025400000000000002,2015-06-27,829
Rain,16.11111111111111,2.6162,2015-11-17,260
"",10.0,0.0,2017-01-26,268
"",23.333333333333336,"",2015-04-22,401
Rain,28.88888888888889,"",2016-09-14,313
"",7.222222222222222,0.0,2014-12-02,164
"",28.88888888888889,0.0,2016-06-29,451
"",21.666666666666668,0.0,2014-09-14,604
Rain,20.0,0.050800000000000005,2015-11-06,595
"",28.88888888888889,0.0,2015-06-11,388
"",22.77777777777778,0.0,2015-03-19,3031
"",28.88888888888889,0.0,2014-10-10,1304
Fog,17.22222222222222,0.0,2017-01-01,786
"",30.0,0.0,2015-08-17,351
"",22.77777777777778,0.0,2016-03-03,407
"",15.0,0.0,2014-02-15,656
"",16.666666666666668,0.0,2014-01-11,272
"",32.22222222222222,0.0,2014-08-18,278
"Rain , Thunderstorm",28.88888888888889,0.025400000000000002,2017-06-19,424
"",18.88888888888889,0.0,2015-03-13,1673
"",28.333333333333336,0.0,2014-06-05,634
"",24.444444444444446,0.0,2014-04-25,658
"",24.444444444444446,0.0,2015-06-01,454
"Rain , Thunderstorm",20.555555555555557,0.050800000000000005,2015-05-21,378
"",16.666666666666668,0.0,2015-11-08,750
"",31.111111111111114,0.0,2017-07-10,396
"",22.22222222222222,0.0,2017-04-18,658
"Rain , Thunderstorm",10.0,0.3302,2016-01-06,302
Rain,7.777777777777779,"",2016-01-05,599
"",16.666666666666668,0.0,2017-01-20,455
Rain,28.333333333333336,0.050800000000000005,2017-06-25,641
"",30.555555555555557,0.0,2017-06-13,423
Rain,18.333333333333336,"",2015-04-11,591
"",24.444444444444446,0.0,2014-09-23,360
"",30.0,0.0,2016-06-27,460
Rain,26.666666666666668,0.025400000000000002,2014-06-26,336
Rain,5.555555555555555,0.635,2015-11-28,45
"",26.666666666666668,0.0,2015-10-08,650
"",33.333333333333336,0.0,2016-08-10,351
"",21.11111111111111,0.0,2015-10-28,664
Rain,5.555555555555555,0.4318,2015-01-11,189
"Rain , Thunderstorm",30.0,0.48260000000000003,2014-09-06,640
Rain,28.88888888888889,0.10160000000000001,2015-09-16,304
Rain,0.5555555555555556,0.127,2014-01-28,16
"",24.444444444444446,0.0,2016-10-30,701
"",31.111111111111114,0.025400000000000002,2014-09-02,255
"",20.555555555555557,0.0,2015-04-15,465
"",32.22222222222222,0.0,2015-08-08,719
"",13.88888888888889,0.0,2014-02-21,229
"",18.333333333333336,0.0,2014-03-18,351
"Rain , Thunderstorm",23.333333333333336,1.4224,2015-04-27,511
"",13.88888888888889,0.0,2014-04-16,358
"",10.555555555555555,0.0,2016-01-20,477
"",23.333333333333336,0.0,2016-05-05,519
Rain,18.88888888888889,0.6858000000000001,2017-03-05,575
"",26.666666666666668,0.0,2015-10-11,1787
"",28.88888888888889,"",2016-10-06,606
"Rain , Thunderstorm",30.555555555555557,0.40640000000000004,2017-07-15,468
"Rain , Thunderstorm",23.333333333333336,0.025400000000000002,2015-04-16,418
"",20.0,0.0,2016-02-11,373
"",27.77777777777778,0.0,2016-09-12,391
"Fog , Rain",15.555555555555557,1.3462,2015-11-07,392
"Rain , Thunderstorm",20.555555555555557,0.025400000000000002,2014-10-12,1787
"",32.77777777777778,"",2017-07-26,381
"",28.333333333333336,0.0,2017-06-07,521
"",13.88888888888889,0.0,2016-02-09,317
"",31.666666666666668,0.0,2015-08-19,415
Rain,16.11111111111111,1.651,2015-10-25,139
"",23.333333333333336,0.0,2017-03-21,461
"",22.77777777777778,0.0,2014-02-19,169
"",12.777777777777779,0.0,2014-03-17,372
"",28.333333333333336,"",2017-06-02,590
"",29.444444444444446,0.0,2015-09-19,689
Rain,20.0,"",2015-11-25,367
"",12.222222222222223,0.0,2014-01-18,255
"",3.3333333333333335,0.0,2014-01-29,53
"",13.88888888888889,0.0,2016-01-29,980
"",28.88888888888889,0.0,2015-07-12,638
"Rain , Thunderstorm",18.333333333333336,0.127,2017-04-30,897
Rain,22.22222222222222,0.127,2017-03-24,476
"",29.444444444444446,0.0,2015-06-26,498
"",30.0,0.0,2015-10-12,754
"",23.88888888888889,0.0,2014-10-28,482
"",28.333333333333336,0.0,2015-07-11,667
"",11.11111111111111,0.0,2014-03-13,2170
Rain,10.555555555555555,"",2016-01-26,344
"",33.333333333333336,0.0,2014-06-14,696
"",22.22222222222222,0.0,2014-10-15,516
"",22.77777777777778,0.0,2016-11-15,441
"Rain , Thunderstorm",30.555555555555557,0.254,2016-08-13,450
"",7.777777777777779,0.0,2013-12-31,163
Rain,4.444444444444445,0.4318,2014-03-04,112
"",30.555555555555557,0.0,2016-09-18,410
"",16.666666666666668,0.0,2016-02-15,571
"Rain , Thunderstorm",1.1111111111111112,0.762,2015-01-10,23
Rain,27.77777777777778,0.5334,2014-09-20,596
"",8.333333333333334,0.0,2015-11-22,461
"",30.0,0.0,2016-09-08,437
"",21.666666666666668,0.0,2015-10-18,755
"",13.88888888888889,0.0,2014-11-28,514
"",11.666666666666668,0.0,2016-03-20,838
"",11.666666666666668,0.0,2015-12-01,258
Rain,18.333333333333336,"",2014-12-12,242
"",21.11111111111111,0.0,2017-01-11,290
"",32.77777777777778,0.0,2016-07-13,496
Rain,8.333333333333334,5.2578,2015-01-22,45
"Fog , Rain",5.555555555555555,0.025400000000000002,2014-11-16,156
"",22.77777777777778,0.0,2017-02-12,577
"",11.11111111111111,0.0,2014-12-20,222
"",18.333333333333336,0.0,2016-10-21,674
"",15.555555555555557,0.0,2015-03-15,2652
"",31.666666666666668,0.0,2017-06-18,460
"",19.444444444444446,0.0,2017-02-24,616
"",31.666666666666668,0.0,2015-07-29,376
"",15.0,0.0,2015-12-08,357
"Fog , Rain , Thunderstorm",12.222222222222223,3.9878,2017-01-17,104
Rain,21.11111111111111,0.2794,2016-05-08,315
"",19.444444444444446,0.0,2015-04-14,429
"Rain , Thunderstorm",11.11111111111111,1.8796,2014-03-08,537
"",30.0,0.0,2016-09-01,365
Rain,21.666666666666668,0.3302,2015-03-18,2471
"Rain , Thunderstorm",26.666666666666668,1.1938,2017-05-28,1051
"",18.88888888888889,"",2015-01-29,304
"",32.22222222222222,0.0,2014-08-17,445
"",31.111111111111114,0.0,2014-08-15,391
"",21.666666666666668,0.0,2016-03-16,2034
"",24.444444444444446,0.0,2014-05-28,291
"",12.222222222222223,0.0,2016-02-25,343
"",16.11111111111111,0.0,2016-11-21,551
"",17.22222222222222,0.0,2015-04-29,366
"",21.666666666666668,0.0,2017-05-05,733
"Fog , Rain , Thunderstorm",26.11111111111111,1.9304000000000001,2016-09-25,435
"",26.666666666666668,0.0,2015-06-06,730
"",27.77777777777778,0.0,2014-10-08,498
"",15.555555555555557,0.0,2015-01-26,253
"",29.444444444444446,0.0,2017-05-19,712
Rain,-1.1111111111111112,"",2015-01-08,83
"",12.777777777777779,0.0,2016-03-19,2026
"",29.444444444444446,0.0,2014-04-27,601
Rain,22.77777777777778,0.025400000000000002,2015-12-12,322
Rain,3.8888888888888893,0.2286,2015-03-01,108
"",32.22222222222222,0.0,2015-08-06,466
"",23.88888888888889,0.0,2017-03-20,445
"",2.2222222222222223,0.0,2014-11-13,123
Rain,18.333333333333336,0.254,2014-01-10,76
"",28.333333333333336,0.0,2016-08-30,366
"",17.77777777777778,0.0,2014-03-29,995
"",30.555555555555557,0.0,2014-06-30,377
"",20.0,"",2014-11-03,330
"",25.0,0.0,2014-09-28,621
"",23.88888888888889,0.0,2016-10-29,823
"",30.0,0.0,2015-08-31,405
"",21.11111111111111,0.0,2014-05-02,695
"",24.444444444444446,0.0,2017-04-15,1518
"",27.222222222222225,0.0,2017-06-06,524
"",31.666666666666668,0.0,2016-08-07,605
"",28.88888888888889,0.0,2015-07-10,493
Rain,20.0,0.1778,2016-11-06,456
"",15.0,0.0,2017-01-25,291
Rain,16.666666666666668,"",2017-01-19,329
"",24.444444444444446,0.0,2016-10-26,468
"",12.222222222222223,0.0,2015-01-17,834
"",28.88888888888889,0.0,2016-09-02,583
"",24.444444444444446,0.0,2016-03-31,588
"",12.777777777777779,0.0,2014-12-16,304
"",31.111111111111114,0.0,2016-07-16,675
"",25.0,0.0,2017-04-26,503
Fog,12.777777777777779,0.0,2015-12-02,278
"Rain , Thunderstorm",30.555555555555557,0.10160000000000001,2016-07-10,522
"",19.444444444444446,0.0,2016-02-18,367
"",31.111111111111114,0.0,2015-07-18,783
"",4.444444444444445,0.0,2013-12-30,84
Rain,23.333333333333336,0.254,2015-12-26,303
"",31.666666666666668,0.0,2017-07-11,407
"",22.77777777777778,0.0,2015-10-20,448
"",17.77777777777778,0.0,2015-04-20,466
"",22.77777777777778,0.0,2017-02-23,442
"",30.555555555555557,0.0,2014-07-21,384
"Rain , Thunderstorm",12.777777777777779,3.3528000000000002,2015-12-27,52
"Rain , Thunderstorm",26.11111111111111,0.050800000000000005,2015-05-09,780
"",25.555555555555557,0.0,2014-05-29,320
"",10.0,"",2013-12-25,145
"",9.444444444444445,0.0,2015-01-15,207
"",31.666666666666668,0.0,2017-07-12,515
"",17.77777777777778,0.0,2015-12-15,319
